Frequency,Angle_of_attack,Chord_length,Free_stream_velocity,Suction_side_displacement_thickness,Scaled_SPL
4000,4.0,0.3048,39.6,0.00579636,115.863
5000,4.0,0.3048,39.6,0.00579636,113.733
1250,0.0,0.2286,71.3,0.00214345,128.144
1600,0.0,0.2286,71.3,0.00214345,129.134
2000,0.0,0.2286,71.3,0.00214345,128.244
2500,0.0,0.2286,71.3,0.00214345,128.354
3150,0.0,0.2286,71.3,0.00214345,127.834
4000,0.0,0.2286,71.3,0.00214345,125.824
5000,0.0,0.2286,71.3,0.00214345,124.304
6300,0.0,0.2286,71.3,0.00214345,122.044
8000,0.0,0.2286,71.3,0.00214345,118.024
10000,0.0,0.2286,71.3,0.00214345,118.134
12500,0.0,0.2286,71.3,0.00214345,117.624
16000,0.0,0.2286,71.3,0.00214345,114.984
20000,0.0,0.2286,71.3,0.00214345,114.474
315,0.0,0.2286,55.5,0.00229336,119.54
630,0.0,0.2286,55.5,0.00229336,126.16
800,0.0,0.2286,55.5,0.00229336,127.53
1000,0.0,0.2286,55.5,0.00229336,128.29
1250,0.0,0.2286,55.5,0.00229336,127.91
1600,0.0,0.2286,55.5,0.00229336,126.79
2000,0.0,0.2286,55.5,0.00229336,126.54
3150,0.0,0.2286,55.5,0.00229336,125.16
5000,0.0,0.2286,55.5,0.00229336,122.41
6300,0.0,0.2286,55.5,0.00229336,118.41
400,0.0,0.2286,39.6,0.00253511,123.565
630,0.0,0.2286,39.6,0.00253511,128.705
800,0.0,0.2286,39.6,0.00253511,130.205
1000,0.0,0.2286,39.6,0.00253511,130.435
1250,0.0,0.2286,39.6,0.00253511,129.395
1600,0.0,0.2286,39.6,0.00253511,127.095
2000,0.0,0.2286,39.6,0.00253511,125.305
4000,0.0,0.2286,39.6,0.00253511,123.465
5000,0.0,0.2286,39.6,0.00253511,122.175
6300,0.0,0.2286,39.6,0.00253511,117.465
315,0.0,0.2286,31.7,0.0027238,120.595
400,0.0,0.2286,31.7,0.0027238,123.635
500,0.0,0.2286,31.7,0.0027238,126.675
630,0.0,0.2286,31.7,0.0027238,129.465
800,0.0,0.2286,31.7,0.0027238,130.725
1000,0.0,0.2286,31.7,0.0027238,130.595
1250,0.0,0.2286,31.7,0.0027238,128.805
1600,0.0,0.2286,31.7,0.0027238,125.625
2000,0.0,0.2286,31.7,0.0027238,123.455
2500,0.0,0.2286,31.7,0.0027238,123.445
3150,0.0,0.2286,31.7,0.0027238,123.445
500,2.0,0.2286,71.3,0.00293031,126.486
1000,2.0,0.2286,71.3,0.00293031,128.956
1250,2.0,0.2286,71.3,0.00293031,128.816
1600,2.0,0.2286,71.3,0.00293031,127.796
2000,2.0,0.2286,71.3,0.00293031,126.896
2500,2.0,0.2286,71.3,0.00293031,127.006
3150,2.0,0.2286,71.3,0.00293031,126.116
6300,2.0,0.2286,71.3,0.00293031,120.786
8000,2.0,0.2286,71.3,0.00293031,115.996
10000,2.0,0.2286,71.3,0.00293031,113.086
400,2.0,0.2286,55.5,0.00313525,122.292
630,2.0,0.2286,55.5,0.00313525,126.842
800,2.0,0.2286,55.5,0.00313525,128.492
1250,2.0,0.2286,55.5,0.00313525,128.762
1600,2.0,0.2286,55.5,0.00313525,126.752
2000,2.0,0.2286,55.5,0.00313525,124.612
2500,2.0,0.2286,55.5,0.00313525,123.862
3150,2.0,0.2286,55.5,0.00313525,123.742
4000,2.0,0.2286,55.5,0.00313525,122.232
5000,2.0,0.2286,55.5,0.00313525,120.472
6300,2.0,0.2286,55.5,0.00313525,118.712
315,2.0,0.2286,39.6,0.00346574,120.137
400,2.0,0.2286,39.6,0.00346574,122.147
500,2.0,0.2286,39.6,0.00346574,125.157
630,2.0,0.2286,39.6,0.00346574,127.417
800,2.0,0.2286,39.6,0.00346574,129.037
1000,2.0,0.2286,39.6,0.00346574,129.147
1250,2.0,0.2286,39.6,0.00346574,128.257
1600,2.0,0.2286,39.6,0.00346574,125.837
2000,2.0,0.2286,39.6,0.00346574,122.797
2500,2.0,0.2286,39.6,0.00346574,121.397
3150,2.0,0.2286,39.6,0.00346574,121.627
4000,2.0,0.2286,39.6,0.00346574,120.227
5000,2.0,0.2286,39.6,0.00346574,118.827
6300,2.0,0.2286,39.6,0.00346574,116.417
315,2.0,0.2286,31.7,0.00372371,120.147
400,2.0,0.2286,31.7,0.00372371,123.417
500,2.0,0.2286,31.7,0.00372371,126.677
800,2.0,0.2286,31.7,0.00372371,130.307
2500,2.0,0.2286,31.7,0.00372371,121.407
3150,2.0,0.2286,31.7,0.00372371,121.527
4000,2.0,0.2286,31.7,0.00372371,120.527
5000,2.0,0.2286,31.7,0.00372371,118.267
6300,2.0,0.2286,31.7,0.00372371,115.137
800,4.0,0.2286,71.3,0.00400603,130.688
1000,4.0,0.2286,71.3,0.00400603,131.708
1250,4.0,0.2286,71.3,0.00400603,131.718
1600,4.0,0.2286,71.3,0.00400603,129.468
2000,4.0,0.2286,71.3,0.00400603,126.218
3150,4.0,0.2286,71.3,0.00400603,124.108
4000,4.0,0.2286,71.3,0.00400603,121.728
6300,4.0,0.2286,71.3,0.00400603,118.618
10000,4.0,0.2286,71.3,0.00400603,113.108
16000,4.0,0.2286,71.3,0.00400603,112.768
20000,4.0,0.2286,71.3,0.00400603,109.638
400,4.0,0.2286,55.5,0.0042862,123.274
500,4.0,0.2286,55.5,0.0042862,127.314
630,4.0,0.2286,55.5,0.0042862,129.964
800,4.0,0.2286,55.5,0.0042862,131.864
1000,4.0,0.2286,55.5,0.0042862,132.134
1250,4.0,0.2286,55.5,0.0042862,131.264
1600,4.0,0.2286,55.5,0.0042862,128.264
2000,4.0,0.2286,55.5,0.0042862,124.254
2500,4.0,0.2286,55.5,0.0042862,122.384
3150,4.0,0.2286,55.5,0.0042862,122.394
4000,4.0,0.2286,55.5,0.0042862,120.654
5000,4.0,0.2286,55.5,0.0042862,120.034
6300,4.0,0.2286,55.5,0.0042862,117.154
315,4.0,0.2286,39.6,0.00473801,122.229
400,4.0,0.2286,39.6,0.00473801,123.879
500,4.0,0.2286,39.6,0.00473801,127.039
630,4.0,0.2286,39.6,0.00473801,129.579
1000,4.0,0.2286,39.6,0.00473801,129.969
1250,4.0,0.2286,39.6,0.00473801,128.339
1600,4.0,0.2286,39.6,0.00473801,125.319
2000,4.0,0.2286,39.6,0.00473801,121.659
2500,4.0,0.2286,39.6,0.00473801,119.649
4000,4.0,0.2286,39.6,0.00473801,119.159
6300,4.0,0.2286,39.6,0.00473801,114.249
8000,4.0,0.2286,39.6,0.00473801,113.129
250,4.0,0.2286,31.7,0.00509068,120.189
400,4.0,0.2286,31.7,0.00509068,126.149
500,4.0,0.2286,31.7,0.00509068,128.939
630,4.0,0.2286,31.7,0.00509068,130.349
1250,4.0,0.2286,31.7,0.00509068,128.119
1600,4.0,0.2286,31.7,0.00509068,125.229
2000,4.0,0.2286,31.7,0.00509068,122.089
4000,4.0,0.2286,31.7,0.00509068,118.859
5000,4.0,0.2286,31.7,0.00509068,115.969
6300,4.0,0.2286,31.7,0.00509068,112.699
400,5.3,0.2286,71.3,0.0051942,127.7
500,5.3,0.2286,71.3,0.0051942,129.88
1000,5.3,0.2286,71.3,0.0051942,134.0
1250,5.3,0.2286,71.3,0.0051942,133.38
1600,5.3,0.2286,71.3,0.0051942,130.46
2000,5.3,0.2286,71.3,0.0051942,125.89
2500,5.3,0.2286,71.3,0.0051942,123.74
3150,5.3,0.2286,71.3,0.0051942,123.12
4000,5.3,0.2286,71.3,0.0051942,120.33
5000,5.3,0.2286,71.3,0.0051942,118.05
6300,5.3,0.2286,71.3,0.0051942,116.92
250,5.3,0.2286,39.6,0.00614329,127.011
315,5.3,0.2286,39.6,0.00614329,129.691
400,5.3,0.2286,39.6,0.00614329,131.221
630,5.3,0.2286,39.6,0.00614329,132.011
1000,5.3,0.2286,39.6,0.00614329,125.581
1250,5.3,0.2286,39.6,0.00614329,125.721
1600,5.3,0.2286,39.6,0.00614329,123.081
2000,5.3,0.2286,39.6,0.00614329,117.911
2500,5.3,0.2286,39.6,0.00614329,116.151
3150,5.3,0.2286,39.6,0.00614329,118.441
4000,5.3,0.2286,39.6,0.00614329,115.801
5000,5.3,0.2286,39.6,0.00614329,115.311
6300,5.3,0.2286,39.6,0.00614329,112.541
200,7.3,0.2286,71.3,0.0104404,138.758
250,7.3,0.2286,71.3,0.0104404,139.918
315,7.3,0.2286,71.3,0.0104404,139.808
400,7.3,0.2286,71.3,0.0104404,139.438
630,7.3,0.2286,71.3,0.0104404,133.768
800,7.3,0.2286,71.3,0.0104404,130.748
1000,7.3,0.2286,71.3,0.0104404,126.838
1250,7.3,0.2286,71.3,0.0104404,127.358
1600,7.3,0.2286,71.3,0.0104404,125.728
2000,7.3,0.2286,71.3,0.0104404,122.708
2500,7.3,0.2286,71.3,0.0104404,122.088
3150,7.3,0.2286,71.3,0.0104404,120.458
4000,7.3,0.2286,71.3,0.0104404,119.208
5000,7.3,0.2286,71.3,0.0104404,115.298
200,7.3,0.2286,55.5,0.0111706,135.234
250,7.3,0.2286,55.5,0.0111706,136.384
315,7.3,0.2286,55.5,0.0111706,136.284
400,7.3,0.2286,55.5,0.0111706,135.924
500,7.3,0.2286,55.5,0.0111706,133.174
630,7.3,0.2286,55.5,0.0111706,130.934
800,7.3,0.2286,55.5,0.0111706,128.444
1000,7.3,0.2286,55.5,0.0111706,125.194
1250,7.3,0.2286,55.5,0.0111706,125.724
2000,7.3,0.2286,55.5,0.0111706,120.354
3150,7.3,0.2286,55.5,0.0111706,117.134
4000,7.3,0.2286,55.5,0.0111706,117.284
5000,7.3,0.2286,55.5,0.0111706,113.144
6300,7.3,0.2286,55.5,0.0111706,111.534
200,7.3,0.2286,39.6,0.0123481,130.989
250,7.3,0.2286,39.6,0.0123481,131.889
315,7.3,0.2286,39.6,0.0123481,132.149
500,7.3,0.2286,39.6,0.0123481,130.299
630,7.3,0.2286,39.6,0.0123481,128.929
1000,7.3,0.2286,39.6,0.0123481,122.539
1250,7.3,0.2286,39.6,0.0123481,123.189
1600,7.3,0.2286,39.6,0.0123481,121.059
2000,7.3,0.2286,39.6,0.0123481,117.809
3150,7.3,0.2286,39.6,0.0123481,114.309
4000,7.3,0.2286,39.6,0.0123481,114.079
5000,7.3,0.2286,39.6,0.0123481,111.959
6300,7.3,0.2286,39.6,0.0123481,110.839
200,7.3,0.2286,31.7,0.0132672,128.679
250,7.3,0.2286,31.7,0.0132672,130.089
400,7.3,0.2286,31.7,0.0132672,130.269
500,7.3,0.2286,31.7,0.0132672,128.169
630,7.3,0.2286,31.7,0.0132672,126.189
1000,7.3,0.2286,31.7,0.0132672,119.099
1250,7.3,0.2286,31.7,0.0132672,120.509
1600,7.3,0.2286,31.7,0.0132672,119.039
2000,7.3,0.2286,31.7,0.0132672,115.309
3150,7.3,0.2286,31.7,0.0132672,113.229
4000,7.3,0.2286,31.7,0.0132672,112.639
5000,7.3,0.2286,31.7,0.0132672,111.029
6300,7.3,0.2286,31.7,0.0132672,110.689
800,0.0,0.1524,71.3,0.0015988,125.817
1000,0.0,0.1524,71.3,0.0015988,127.307
1250,0.0,0.1524,71.3,0.0015988,128.927
4000,0.0,0.1524,71.3,0.0015988,128.857
5000,0.0,0.1524,71.3,0.0015988,126.457
6300,0.0,0.1524,71.3,0.0015988,125.427
8000,0.0,0.1524,71.3,0.0015988,122.527
10000,0.0,0.1524,71.3,0.0015988,120.247
12500,0.0,0.1524,71.3,0.0015988,117.087
16000,0.0,0.1524,71.3,0.0015988,113.297
500,0.0,0.1524,55.5,0.00172668,120.573
630,0.0,0.1524,55.5,0.00172668,123.583
800,0.0,0.1524,55.5,0.00172668,126.713
1250,0.0,0.1524,55.5,0.00172668,129.953
2000,0.0,0.1524,55.5,0.00172668,129.673
4000,0.0,0.1524,55.5,0.00172668,127.233
5000,0.0,0.1524,55.5,0.00172668,125.203
6300,0.0,0.1524,55.5,0.00172668,123.303
8000,0.0,0.1524,55.5,0.00172668,121.903
12500,0.0,0.1524,55.5,0.00172668,117.093
16000,0.0,0.1524,55.5,0.00172668,112.803
500,0.0,0.1524,39.6,0.00193287,119.513
630,0.0,0.1524,39.6,0.00193287,124.403
800,0.0,0.1524,39.6,0.00193287,127.903
1000,0.0,0.1524,39.6,0.00193287,130.033
1250,0.0,0.1524,39.6,0.00193287,131.023
1600,0.0,0.1524,39.6,0.00193287,131.013
2000,0.0,0.1524,39.6,0.00193287,129.633
3150,0.0,0.1524,39.6,0.00193287,125.603
4000,0.0,0.1524,39.6,0.00193287,125.343
5000,0.0,0.1524,39.6,0.00193287,123.453
6300,0.0,0.1524,39.6,0.00193287,121.313
8000,0.0,0.1524,39.6,0.00193287,120.553
10000,0.0,0.1524,39.6,0.00193287,115.413
500,0.0,0.1524,31.7,0.00209405,121.617
630,0.0,0.1524,31.7,0.00209405,125.997
800,0.0,0.1524,31.7,0.00209405,129.117
1000,0.0,0.1524,31.7,0.00209405,130.987
1250,0.0,0.1524,31.7,0.00209405,131.467
1600,0.0,0.1524,31.7,0.00209405,130.817
2000,0.0,0.1524,31.7,0.00209405,128.907
3150,0.0,0.1524,31.7,0.00209405,124.207
4000,0.0,0.1524,31.7,0.00209405,123.807
630,2.7,0.1524,71.3,0.00243851,127.404
800,2.7,0.1524,71.3,0.00243851,127.394
1250,2.7,0.1524,71.3,0.00243851,130.144
1600,2.7,0.1524,71.3,0.00243851,130.644
2000,2.7,0.1524,71.3,0.00243851,130.114
4000,2.7,0.1524,71.3,0.00243851,126.534
5000,2.7,0.1524,71.3,0.00243851,124.364
6300,2.7,0.1524,71.3,0.00243851,121.944
10000,2.7,0.1524,71.3,0.00243851,116.724
12500,2.7,0.1524,71.3,0.00243851,113.034
16000,2.7,0.1524,71.3,0.00243851,110.364
500,2.7,0.1524,39.6,0.00294804,121.009
630,2.7,0.1524,39.6,0.00294804,125.809
800,2.7,0.1524,39.6,0.00294804,128.829
1250,2.7,0.1524,39.6,0.00294804,130.829
1600,2.7,0.1524,39.6,0.00294804,130.049
2000,2.7,0.1524,39.6,0.00294804,128.139
5000,2.7,0.1524,39.6,0.00294804,121.499
6300,2.7,0.1524,39.6,0.00294804,119.209
8000,2.7,0.1524,39.6,0.00294804,116.659
10000,2.7,0.1524,39.6,0.00294804,112.589
400,5.4,0.1524,71.3,0.00401199,124.121
500,5.4,0.1524,71.3,0.00401199,126.291
630,5.4,0.1524,71.3,0.00401199,128.971
800,5.4,0.1524,71.3,0.00401199,131.281
1000,5.4,0.1524,71.3,0.00401199,133.201
1250,5.4,0.1524,71.3,0.00401199,134.111
1600,5.4,0.1524,71.3,0.00401199,133.241
2000,5.4,0.1524,71.3,0.00401199,131.111
2500,5.4,0.1524,71.3,0.00401199,127.591
3150,5.4,0.1524,71.3,0.00401199,123.311
4000,5.4,0.1524,71.3,0.00401199,121.431
5000,5.4,0.1524,71.3,0.00401199,120.061
6300,5.4,0.1524,71.3,0.00401199,116.411
400,5.4,0.1524,55.5,0.00433288,126.807
500,5.4,0.1524,55.5,0.00433288,129.367
630,5.4,0.1524,55.5,0.00433288,131.807
1000,5.4,0.1524,55.5,0.00433288,132.127
1250,5.4,0.1524,55.5,0.00433288,130.777
1600,5.4,0.1524,55.5,0.00433288,130.567
2000,5.4,0.1524,55.5,0.00433288,128.707
2500,5.4,0.1524,55.5,0.00433288,124.077
3150,5.4,0.1524,55.5,0.00433288,121.587
6300,5.4,0.1524,55.5,0.00433288,117.287
8000,5.4,0.1524,55.5,0.00433288,114.927
400,5.4,0.1524,39.6,0.00485029,127.637
500,5.4,0.1524,39.6,0.00485029,129.937
800,5.4,0.1524,39.6,0.00485029,132.757
1000,5.4,0.1524,39.6,0.00485029,130.507
1250,5.4,0.1524,39.6,0.00485029,127.117
1600,5.4,0.1524,39.6,0.00485029,126.267
2000,5.4,0.1524,39.6,0.00485029,124.647
2500,5.4,0.1524,39.6,0.00485029,120.497
4000,5.4,0.1524,39.6,0.00485029,117.137
5000,5.4,0.1524,39.6,0.00485029,117.037
6300,5.4,0.1524,39.6,0.00485029,116.677
315,5.4,0.1524,31.7,0.00525474,125.741
400,5.4,0.1524,31.7,0.00525474,127.781
500,5.4,0.1524,31.7,0.00525474,129.681
630,5.4,0.1524,31.7,0.00525474,131.471
800,5.4,0.1524,31.7,0.00525474,131.491
1000,5.4,0.1524,31.7,0.00525474,128.241
1250,5.4,0.1524,31.7,0.00525474,123.991
1600,5.4,0.1524,31.7,0.00525474,123.761
2000,5.4,0.1524,31.7,0.00525474,122.771
2500,5.4,0.1524,31.7,0.00525474,119.151
4000,5.4,0.1524,31.7,0.00525474,116.181
5000,5.4,0.1524,31.7,0.00525474,115.691
6300,5.4,0.1524,31.7,0.00525474,115.591
400,7.2,0.1524,71.3,0.00752039,130.123
500,7.2,0.1524,71.3,0.00752039,132.043
630,7.2,0.1524,71.3,0.00752039,134.853
800,7.2,0.1524,71.3,0.00752039,136.023
1000,7.2,0.1524,71.3,0.00752039,134.273
1250,7.2,0.1524,71.3,0.00752039,132.513
1600,7.2,0.1524,71.3,0.00752039,130.893
2000,7.2,0.1524,71.3,0.00752039,128.643
2500,7.2,0.1524,71.3,0.00752039,124.353
3150,7.2,0.1524,71.3,0.00752039,116.783
5000,7.2,0.1524,71.3,0.00752039,118.343
10000,7.2,0.1524,71.3,0.00752039,110.313
250,7.2,0.1524,39.6,0.00909175,127.488
315,7.2,0.1524,39.6,0.00909175,130.558
400,7.2,0.1524,39.6,0.00909175,132.118
500,7.2,0.1524,39.6,0.00909175,132.658
630,7.2,0.1524,39.6,0.00909175,133.198
1000,7.2,0.1524,39.6,0.00909175,128.338
1250,7.2,0.1524,39.6,0.00909175,122.428
2000,7.2,0.1524,39.6,0.00909175,120.228
2500,7.2,0.1524,39.6,0.00909175,117.478
3150,7.2,0.1524,39.6,0.00909175,111.818
6300,7.2,0.1524,39.6,0.00909175,112.688
8000,7.2,0.1524,39.6,0.00909175,111.588
10000,7.2,0.1524,39.6,0.00909175,110.868
200,9.9,0.1524,71.3,0.0193001,134.319
250,9.9,0.1524,71.3,0.0193001,135.329
400,9.9,0.1524,71.3,0.0193001,135.079
500,9.9,0.1524,71.3,0.0193001,131.279
630,9.9,0.1524,71.3,0.0193001,129.889
800,9.9,0.1524,71.3,0.0193001,128.879
1000,9.9,0.1524,71.3,0.0193001,126.349
1250,9.9,0.1524,71.3,0.0193001,122.679
1600,9.9,0.1524,71.3,0.0193001,121.789
2500,9.9,0.1524,71.3,0.0193001,119.639
3150,9.9,0.1524,71.3,0.0193001,116.849
4000,9.9,0.1524,71.3,0.0193001,115.079
200,9.9,0.1524,55.5,0.0208438,131.955
250,9.9,0.1524,55.5,0.0208438,133.235
315,9.9,0.1524,55.5,0.0208438,132.355
400,9.9,0.1524,55.5,0.0208438,131.605
630,9.9,0.1524,55.5,0.0208438,127.315
800,9.9,0.1524,55.5,0.0208438,126.565
1000,9.9,0.1524,55.5,0.0208438,124.665
1250,9.9,0.1524,55.5,0.0208438,121.635
1600,9.9,0.1524,55.5,0.0208438,119.875
2500,9.9,0.1524,55.5,0.0208438,118.365
3150,9.9,0.1524,55.5,0.0208438,115.085
4000,9.9,0.1524,55.5,0.0208438,112.945
6300,9.9,0.1524,55.5,0.0208438,110.555
200,9.9,0.1524,39.6,0.0233328,127.315
250,9.9,0.1524,39.6,0.0233328,128.335
315,9.9,0.1524,39.6,0.0233328,128.595
500,9.9,0.1524,39.6,0.0233328,126.835
630,9.9,0.1524,39.6,0.0233328,126.465
800,9.9,0.1524,39.6,0.0233328,126.345
1000,9.9,0.1524,39.6,0.0233328,123.835
1250,9.9,0.1524,39.6,0.0233328,120.555
1600,9.9,0.1524,39.6,0.0233328,118.545
2500,9.9,0.1524,39.6,0.0233328,116.295
3150,9.9,0.1524,39.6,0.0233328,113.525
4000,9.9,0.1524,39.6,0.0233328,112.265
5000,9.9,0.1524,39.6,0.0233328,111.135
6300,9.9,0.1524,39.6,0.0233328,109.885
200,9.9,0.1524,31.7,0.0252785,127.299
250,9.9,0.1524,31.7,0.0252785,128.559
400,9.9,0.1524,31.7,0.0252785,128.939
